Deltoid,Bicep,Time,Bandpass_Filtered_Deltoid,Bandpass_Filtered_Bicep,RMS_Deltoid,RMS_Bicep
7.0,-1.0,0.225,,,,
2.0,-4.0,0.226,,,,
0.0,-4.0,0.22699999999999998,,,,
2.0,0.0,0.228,,,,
5.0,1.0,0.22899999999999998,,,,
2.0,2.0,0.23,,,,
-1.0,1.0,0.231,,,,
1.0,1.0,0.23199999999999998,,,,
5.0,3.0,0.233,,,,
3.0,3.0,0.23399999999999999,,,,
-2.0,0.0,0.235,,,,
-5.0,-1.0,0.23600000000000002,,,,
-3.0,-4.0,0.237,,,,
0.0,-6.0,0.23800000000000002,,,,
2.0,-4.0,0.239,,,,
6.0,-2.0,0.24,,,,
10.0,0.0,0.24100000000000002,,,,
10.0,2.0,0.242,,,,
9.0,0.0,0.243,,,,
9.0,-3.0,0.244,,,,
7.0,-4.0,0.245,,,,
3.0,-1.0,0.24600000000000002,,,,
-1.0,0.0,0.247,,,,
-1.0,-2.0,0.248,,,,
3.0,-3.0,0.249,,,,
4.0,-1.0,0.25,,,,
2.0,0.0,0.251,,,,
-1.0,0.0,0.252,,,,
-1.0,0.0,0.253,,,,
-1.0,-1.0,0.254,,,,
0.0,-3.0,0.255,,,,
0.0,-3.0,0.256,,,,
-3.0,-6.0,0.257,,,,
-4.0,-6.0,0.258,,,,
4.0,-4.0,0.259,,,,
13.0,-1.0,0.26,,,,
13.0,3.0,0.261,,,,
6.0,5.0,0.262,,,,
1.0,6.0,0.263,,,,
2.0,3.0,0.264,,,,
4.0,-1.0,0.265,,,,
2.0,-3.0,0.266,,,,
3.0,-2.0,0.267,,,,
5.0,1.0,0.268,,,,
4.0,3.0,0.26899999999999996,,,,
-2.0,3.0,0.27,,,,
-4.0,1.0,0.271,,,,
-3.0,-1.0,0.272,,,,
0.0,0.0,0.273,,,,
-1.0,-3.0,0.27399999999999997,,,,
-1.0,-3.0,0.275,,,,
-1.0,-4.0,0.276,,,,
-4.0,-6.0,0.27699999999999997,,,,
-5.0,-6.0,0.278,,,,
-2.0,-6.0,0.27899999999999997,,,,
3.0,-2.0,0.28,,,,
5.0,3.0,0.281,,,,
4.0,7.0,0.282,,,,
4.0,4.0,0.28300000000000003,,,,
8.0,-1.0,0.284,,,,
10.0,-2.0,0.285,,,,
4.0,0.0,0.28600000000000003,,,,
0.0,1.0,0.287,,,,
2.0,0.0,0.28800000000000003,,,,
5.0,-1.0,0.289,,,,
5.0,0.0,0.29,,,,
3.0,-1.0,0.29100000000000004,,,,
1.0,-1.0,0.292,,,,
3.0,0.0,0.293,,,,
2.0,0.0,0.294,,,,
1.0,-2.0,0.295,,,,
-4.0,-4.0,0.29600000000000004,,,,
-4.0,-7.0,0.297,,,,
-1.0,-6.0,0.298,,,,
4.0,-3.0,0.299,,,,
7.0,0.0,0.3,,,,
5.0,4.0,0.301,,,,
2.0,6.0,0.302,,,,
0.0,1.0,0.303,,,,
1.0,-4.0,0.304,,,,
4.0,-5.0,0.305,,,,
6.0,-1.0,0.306,,,,
5.0,1.0,0.307,,,,
3.0,1.0,0.308,,,,
3.0,0.0,0.309,,,,
4.0,0.0,0.31,,,,
3.0,2.0,0.311,,,,
2.0,0.0,0.312,,,,
4.0,1.0,0.313,,,,
6.0,0.0,0.314,,,,
4.0,-3.0,0.315,,,,
-3.0,-5.0,0.316,,,,
-8.0,-6.0,0.317,,,,
-5.0,-4.0,0.318,,,,
1.0,0.0,0.319,,,,
5.0,1.0,0.32,,,,
5.0,4.0,0.321,,,,
2.0,6.0,0.322,,,,
3.0,3.0,0.32299999999999995,,,,
6.0,0.0,0.324,,,,
8.0,-1.0,0.325,,,,
7.0,0.0,0.326,,,,
4.0,-1.0,0.327,,,,
2.0,-3.0,0.32799999999999996,,,,
2.0,0.0,0.32899999999999996,,,,
1.0,1.0,0.33,,,,
3.0,0.0,0.331,,,,
3.0,-3.0,0.332,,,,
2.0,-2.0,0.33299999999999996,,,,
-1.0,0.0,0.33399999999999996,,,,
-1.0,-1.0,0.335,,,,
-1.0,-4.0,0.336,,,,
-3.0,-8.0,0.337,,,,
-5.0,-8.0,0.33799999999999997,,,,
0.0,-5.0,0.33899999999999997,,,,
10.0,-2.0,0.34,,,,
10.0,4.0,0.341,,,,
1.0,6.0,0.342,,,,
-2.0,3.0,0.34299999999999997,,,,
4.0,-1.0,0.344,,,,
10.0,-2.0,0.345,,,,
5.0,1.0,0.34600000000000003,,,,
0.0,4.0,0.34700000000000003,,,,
2.0,2.0,0.348,,,,
5.0,-2.0,0.349,,,,
3.0,-4.0,0.35,,,,
0.0,-3.0,0.35100000000000003,,,,
0.0,0.0,0.35200000000000004,,,,
1.0,2.0,0.353,,,,
0.0,1.0,0.354,,,,
0.0,0.0,0.355,,,,
0.0,-2.0,0.35600000000000004,,,,
-3.0,-3.0,0.35700000000000004,,,,
-6.0,-4.0,0.358,,,,
-4.0,-4.0,0.359,,,,
6.0,-2.0,0.36,,,,
11.0,1.0,0.361,,,,
5.0,3.0,0.36200000000000004,,,,
-1.0,0.0,0.363,,,,
0.0,-1.0,0.364,,,,
6.0,2.0,0.365,,,,
4.0,3.0,0.366,,,,
-1.0,0.0,0.36700000000000005,,,,
-1.0,-4.0,0.368,,,,
1.0,-2.0,0.369,,,,
2.0,2.0,0.37,,,,
2.0,1.0,0.371,,,,
2.0,-3.0,0.37200000000000005,,,,
4.0,-3.0,0.373,,,,
3.0,-1.0,0.374,,,,
1.0,-2.0,0.375,,,,
0.0,-5.0,0.376,,,,
-1.0,-9.0,0.377,,,,
-1.0,-9.0,0.37799999999999995,,,,
4.0,-7.0,0.379,,,,
12.0,0.0,0.38,,,,
12.0,5.0,0.381,,,,
4.0,6.0,0.382,,,,
2.0,2.0,0.38299999999999995,,,,
5.0,-1.0,0.384,,,,
8.0,1.0,0.385,,,,
5.0,4.0,0.386,,,,
4.0,0.0,0.387,,,,
4.0,-2.0,0.38799999999999996,,,,
0.0,-2.0,0.389,,,,
-6.0,2.0,0.39,,,,
-5.0,4.0,0.391,,,,
2.0,2.0,0.392,,,,
8.0,1.0,0.39299999999999996,,,,
3.0,0.0,0.39399999999999996,,,,
-2.0,-3.0,0.395,,,,
-4.0,-9.0,0.396,,,,
-5.0,-13.0,0.397,,,,
-6.0,-8.0,0.39799999999999996,,,,
0.0,-2.0,0.39899999999999997,,,,
8.0,1.0,0.4,,,,
10.0,3.0,0.401,,,,
3.0,4.0,0.402,,,,
0.0,3.0,0.40299999999999997,,,,
5.0,0.0,0.40399999999999997,,,,
9.0,-1.0,0.405,,,,
6.0,2.0,0.406,,,,
3.0,6.0,0.40700000000000003,,,,
3.0,3.0,0.408,,,,
2.0,-2.0,0.409,,,,
0.0,-3.0,0.41,,,,
0.0,-2.0,0.41100000000000003,,,,
3.0,-1.0,0.41200000000000003,,,,
3.0,0.0,0.413,,,,
-1.0,0.0,0.414,,,,
-1.0,0.0,0.415,,,,
0.0,-2.0,0.41600000000000004,,,,
-2.0,-6.0,0.41700000000000004,,,,
-4.0,-6.0,0.418,,,,
0.0,-4.0,0.419,,,,
9.0,-4.0,0.42,,,,
11.0,-2.0,0.42100000000000004,,,,
6.0,4.0,0.42200000000000004,,,,
4.0,5.0,0.423,,,,
9.0,0.0,0.424,,,,
10.0,-3.0,0.425,,,,
6.0,-1.0,0.426,,,,
4.0,1.0,0.42700000000000005,,,,
5.0,0.0,0.428,,,,
5.0,-2.0,0.429,,,,
0.0,0.0,0.43,,,,
-1.0,3.0,0.431,,,,
2.0,0.0,0.43200000000000005,,,,
7.0,-3.0,0.433,,,,
6.0,-6.0,0.434,,,,
2.0,-4.0,0.435,,,,
-2.0,-2.0,0.436,,,,
-4.0,-5.0,0.43700000000000006,,,,
-3.0,-5.0,0.43799999999999994,,,,
2.0,-2.0,0.439,,,,
9.0,1.0,0.44,,,,
11.0,2.0,0.441,,,,
5.0,2.0,0.442,,,,
-1.0,0.0,0.44299999999999995,,,,
-3.0,-2.0,0.444,,,,
-3.0,-1.0,0.445,,,,
-2.0,4.0,0.446,,,,
0.0,5.0,0.447,,,,
1.0,1.0,0.44799999999999995,,,,
2.0,-5.0,0.449,,,,
2.0,-5.0,0.45,,,,
2.0,-1.0,0.451,,,,
2.0,2.0,0.452,,,,
2.0,4.0,0.45299999999999996,,,,
-1.0,2.0,0.45399999999999996,,,,
-2.0,1.0,0.455,,,,
-6.0,-1.0,0.456,,,,
-11.0,-7.0,0.457,,,,
-10.0,-7.0,0.45799999999999996,,,,
-1.0,-4.0,0.45899999999999996,,,,
8.0,1.0,0.46,,,,
7.0,6.0,0.461,,,,
3.0,9.0,0.462,,,,
4.0,6.0,0.46299999999999997,,,,
6.0,0.0,0.46399999999999997,,,,
3.0,-2.0,0.465,,,,
-1.0,0.0,0.466,,,,
2.0,1.0,0.467,,,,
6.0,0.0,0.46799999999999997,,,,
5.0,-3.0,0.469,,,,
1.0,-2.0,0.47,,,,
0.0,0.0,0.47100000000000003,,,,
4.0,-2.0,0.47200000000000003,,,,
8.0,-3.0,0.473,,,,
7.0,-4.0,0.474,,,,
3.0,-3.0,0.475,,,,
-1.0,-1.0,0.47600000000000003,,,,
-6.0,-4.0,0.47700000000000004,,,,
-7.0,-7.0,0.478,,,,
0.0,-7.0,0.479,,,,
13.0,-7.0,0.48,,,,
17.0,-3.0,0.48100000000000004,,,,
10.0,1.0,0.48200000000000004,,,,
2.0,2.0,0.483,,,,
2.0,0.0,0.484,,,,
7.0,-2.0,0.485,,,,
7.0,0.0,0.486,,,,
1.0,1.0,0.48700000000000004,,,,
-1.0,0.0,0.488,,,,
1.0,-1.0,0.489,,,,
2.0,0.0,0.49,,,,
1.0,-1.0,0.491,,,,
-1.0,-1.0,0.49200000000000005,,,,
2.0,2.0,0.493,,,,
3.0,4.0,0.494,,,,
